epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,0.6461843934324053,0.0,0.6321574946244558,0.0,0.00096
2,0.6399102118280199,0.0,0.6302587538957596,0.0,0.0009216
3,0.6365860978762309,0.0,0.6257376571496328,0.0,0.0008847359999999999
4,0.6322793066501617,0.0,0.6210680703322092,0.0,0.0008493465599999999
5,0.6275366220209334,0.0,0.6188836296399435,0.0,0.0008153726975999999
6,0.6244820760356056,0.0,0.6142141272624334,0.0,0.0007827577896959998
7,0.6221771160761516,0.0,0.6126406689484915,0.0,0.0007514474781081598
8,0.6193221516079372,0.0,0.6112509419520696,0.0,0.0007213895789838333
9,0.6159883956114451,0.0,0.6092701107263565,0.0,0.00069253399582448
10,0.6127329058117337,0.0,0.602734237909317,0.0,0.0006648326359915007
11,0.6083423535029093,0.0,0.5995024591684341,0.0,0.0006382393305518406
12,0.60752475394143,0.0,0.5977500279744467,0.0,0.000612709757329767
13,0.6043894363774194,0.0,0.5961964130401611,0.0,0.0005882013670365763
14,0.6035878307289547,0.0,0.5956708987553915,0.0,0.0005646733123551131
15,0.6027556704150305,0.0,0.5944107373555502,0.0,0.0005420863798609086
16,0.6018632835812039,0.0,0.5959369540214539,0.0,0.0005204029246664722
17,0.6016492989328173,0.0,0.593869095047315,0.0,0.0004995868076798133
18,0.6006628572940826,0.0,0.5932684143384298,0.0,0.0004796033353726208
19,0.6001618882020314,0.0,0.5933226098616918,0.0,0.00046041920195771596
20,0.5996871643596225,0.0,0.5919604897499084,0.0,0.0004420024338794073
21,0.5989020042949252,0.0,0.5915697365999222,0.0,0.00042432233652423104
22,0.5984830465581682,0.0,0.5917834589878718,0.0,0.0004073494430632618
23,0.5979538215531244,0.0,0.5912311573823293,0.0,0.0003910554653407313
24,0.5982429226239522,0.0,0.5903486609458923,0.0,0.000375413246727102
25,0.5972674270470937,0.0,0.5903077473243078,0.0,0.00036039671685801796
26,0.5970821195178562,0.0,0.590651735663414,0.0,0.00034598084818369723
27,0.5968714667691125,0.0,0.5896857182184855,0.0,0.00033214161425634933
28,0.5966032226880391,0.0,0.5898528595765432,0.0,0.00031885594968609533
29,0.5962187740537855,0.0,0.5892325043678284,0.0,0.0003061017116986515
30,0.5959649807877011,0.0,0.589185024301211,0.0,0.0002938576432307054
31,0.5958146512508392,0.0,0.5888949036598206,0.0,0.0002821033375014772
32,0.595652272966173,0.0,0.5889386534690857,0.0,0.0002708192040014181
33,0.5953069402111901,0.0,0.5889081011215845,0.0,0.00025998643584136135
34,0.5953061640262604,0.0,0.5885251760482788,0.0,0.0002495869784077069
35,0.5949268572860293,0.0,0.5888191560904185,0.0,0.0002396034992713986
36,0.5947787675592634,0.0,0.5881761362155279,0.0,0.00023001935930054264
37,0.5946750243504842,0.0,0.5880025525887808,0.0,0.00022081858492852091
38,0.5945349713166554,0.0,0.588117798169454,0.0,0.00021198584153138007
39,0.5944944461186726,0.0,0.5881846050421397,0.0,0.00020350640787012485
40,0.5942700816525354,0.0,0.5882814774910609,0.0,0.00019536615155531985
41,0.5941813939147526,0.0,0.5875627994537354,0.0,0.00018755150549310706
42,0.5940308133761089,0.0,0.5877137780189514,0.0,0.00018004944527338278
43,0.5939522875679863,0.0,0.5875369211037954,0.0,0.00017284746746244745
44,0.5938031295935313,0.0,0.5875140974919001,0.0,0.00016593356876394954
45,0.5937616308530171,0.0,0.5875514149665833,0.0,0.00015929622601339156
46,0.5936300694942475,0.0,0.5874283611774445,0.0,0.0001529243769728559
47,0.59349508550432,0.0,0.5872495720783869,0.0,0.00014680740189394165
48,0.5934813704755572,0.0,0.5872172464927038,0.0,0.000140935105818184
49,0.5933973213036855,0.0,0.5873503684997559,0.0,0.00013529770158545663
50,0.5932877388265397,0.0,0.5870049546162287,0.0,0.00012988579352203836
